subhalo_id,subhalo_flag,logmass,logmass0,logmass1,logmass4,SubhaloCM_x,SubhaloCM_y,SubhaloCM_z,SubhaloVel_x,SubhaloVel_y,SubhaloVel_z,SubhaloHalfmassRad,MassInMaxRad,SubhaloVmax,SubhaloVmaxRad
388545,1,11.141249,9.779807,11.057367999999999,10.259472,8159.882323999999,28175.496094,18967.822266,78.530998,-271.90640299999995,429.306824,10.084589999999999,9.980165,198.58461,0.73368
388546,1,10.946794,9.933133,10.821992,10.130452,7993.936523,28187.511719,18915.716797,-68.20566600000001,-210.70184300000003,186.079025,9.304881,10.454912,123.173973,5.68998
390932,1,12.685087,11.270451,12.643785000000001,11.401895,7944.450195,6751.102051000001,32093.867188,-11.993929,-10.689129,6.0873550000000005,97.619263,10.729061,395.15979,1.039321
390933,1,11.031137,9.623645,10.929889,10.256186999999999,8041.145508,6734.432617,32160.376952999995,-164.138168,104.921341,105.168297,7.0502910000000005,10.046209,197.424957,0.864241
392276,1,12.477331,11.034068,12.448333,10.931561,23725.757812,26715.0625,23052.552734,-68.716652,-28.207248999999997,-100.230995,88.483086,10.55759,326.250244,1.027361
392277,1,12.087044,10.515053,12.05671,10.695065,24218.193359,26502.226562,22913.722656,-159.68327299999999,-114.980721,153.801041,61.899765,10.197392,244.16146899999998,0.800327
392278,1,11.543743,10.593967999999998,11.444135000000001,10.510197999999999,23790.201172,26784.447266,23174.751953,-330.930115,-71.122917,-15.332167000000002,17.860785999999997,11.238794,172.21289099999998,17.696775
392279,1,10.785489,9.827875,10.675823,9.837078,23651.40625,26676.953125,23089.623047,-332.531921,-115.57737,-62.7799,6.86987,10.404384,116.89595800000001,5.623639
392280,1,10.801801,9.828327,10.721003999999999,9.603441,23711.357422,26576.425781,23059.884766,-115.752296,142.212494,-252.8405,8.808084,10.481032,104.486435,8.397478999999999
394621,1,12.521703,11.244161,12.488842,10.823584,11679.745117,18084.367188,2944.7036129999997,-77.520638,22.142210000000002,119.9142,119.94938700000002,10.226915,247.79962200000003,0.831659
394622,1,11.592096000000002,10.371519000000001,11.470844999999999,10.854586999999999,11687.731445,18133.082031,3013.0395510000003,-82.625557,-23.752436,174.05375700000002,13.841209,10.21829,266.242981,0.7062609999999999
394624,1,11.262853999999999,10.3372,11.195758999999999,9.650787,11883.669922,18217.394531,2707.84668,-126.208611,-48.707237,317.83432,21.782410000000002,10.83888,116.55354299999999,15.383645000000001
396628,1,12.617224,11.315452,12.574186,11.264232000000002,24220.880859,20620.894531,4179.119140999999,91.562088,-157.137054,-0.26282300000000003,101.25,10.750095,391.181793,1.1131870000000001
396629,1,11.435564,10.549799,11.331716,10.351539,24335.046875,20359.970703,4260.021973,123.731224,-265.879181,-57.42463299999999,22.315735,10.518858,160.94096399999998,3.8614940000000004
396630,1,10.514109,9.639656,10.405486,9.456185000000001,24335.347656,20331.580078,4287.953613000001,225.643982,-162.179077,-38.92622,5.125163,10.120116000000001,98.889717,4.083739
398784,1,12.676349,11.19485,12.639935000000001,11.351536,14421.598633000001,8195.448242,838.306946,-12.243119,-77.521591,-105.866096,105.60318000000001,10.68747,402.356567,0.9109149999999999
400973,1,12.604771000000001,11.253277,12.566255,11.209149,33659.097656,29349.839844,21700.294922,169.183945,-77.323753,-128.687546,94.237503,10.689378999999999,397.81408700000003,0.9359430000000001
400974,1,11.780895,10.536633,11.725822,10.573008999999999,33201.367188,29459.763672000005,22122.746094,316.868408,-48.727352,-170.256653,33.256747999999995,10.002792,200.767563,0.756197
400975,1,10.981534,9.653234,10.946302000000001,9.470359,33383.976562,29393.353516000003,21817.462891,189.130569,-155.790344,75.37140699999999,15.191582999999998,10.251657000000002,103.133629,5.082726
402555,1,12.45624,11.014774000000001,12.419112,11.115919,19224.332031,28072.5625,25249.951172,-275.527802,-37.704861,-181.81149299999998,85.315216,10.463371,314.721069,0.8886879999999999
402556,1,11.733561,10.864074,11.642004,10.473419999999999,19012.677734,27922.779297000005,25004.175781,-190.334747,32.538239000000004,114.562386,28.532261,11.288819,170.772888,20.193518
402557,1,11.491765,10.307197,11.428258,10.339945,18968.314453,28038.201172000005,25168.423828,-15.528039999999999,26.397066,-29.728474,23.362247,10.482717999999998,177.63876299999998,2.916576
402558,1,10.81449,9.727727999999999,10.733773,9.75644,19016.894531,27998.580077999995,25192.179688,-103.119919,3.5119589999999996,-80.168015,8.514272,10.327583,110.01378600000001,5.320201
402559,1,10.580276,9.780489999999999,10.496416,8.808982,18944.441406,28029.580077999995,24935.681641,-187.411194,-122.128799,35.9641,10.494186000000001,10.272403,74.144203,10.315468
404817,1,12.670173,11.247508999999999,12.640275,11.126913,81.428467,10542.015625,223.2453,-117.912155,-34.267815,46.133334999999995,136.48645,10.427809,296.306305,0.9237559999999999
406941,1,12.533744,10.839102,12.509178,11.074269000000001,34053.773438,7642.04834,26916.679688,-0.065197,-110.482643,142.92929099999998,103.093338,10.625115,371.33306899999997,0.926442
406942,1,11.960262,10.507671,11.888978999999999,11.024575,33909.792969,7657.996094,26919.810547000005,243.19468700000002,-214.84249900000003,-21.869132999999998,24.287487,11.595283,238.994629,20.880326999999998
406943,1,10.795995,9.727307000000001,10.700474,9.843922000000001,34095.769531,7585.638184,26987.833983999997,-167.795334,-98.138565,78.918549,7.344474000000001,10.453406,113.619339,6.664053
408534,1,12.597854,11.123864,12.560649,11.282932,30318.953125,12524.322266,7573.249512,-42.641731,13.574515,-72.07938399999999,92.439316,10.64878,370.506531,0.9826940000000001
408535,1,11.664050999999999,10.399659,11.602955,10.548451,30518.341797000005,12537.337891,7807.61084,-198.162308,-29.121129999999997,-217.643829,25.7836,10.807069,205.423203,4.60257
